work_id	person_id	title	subtitle	author	path
4539	000076	女性の不平とよろこび		岡本かの子	cards/000076/files/4539_ruby_14925/4539_ruby_14925.txt
4540	000076	時代色	――歪んだポーズ	岡本かの子	cards/000076/files/4540_ruby_14923/4540_ruby_14923.txt
4541	000076	異性に対する感覚を洗練せよ		岡本かの子	cards/000076/files/4541_ruby_14917/4541_ruby_14917.txt
4542	000076	女性崇拝		岡本かの子	cards/000076/files/4542_ruby_14924/4542_ruby_14924.txt
4543	000076	山茶花		岡本かの子	cards/000076/files/4543_ruby_14922/4543_ruby_14922.txt
4544	000076	桃のある風景		岡本かの子	cards/000076/files/4544_ruby_14931/4544_ruby_14931.txt
4545	000076	病房にたわむ花		岡本かの子	cards/000076/files/4545_ruby_14930/4545_ruby_14930.txt
4546	000076	異国食餌抄		岡本かの子	cards/000076/files/4546_ruby_14916/4546_ruby_14916.txt
4547	000076	巴里の秋		岡本かの子	cards/000076/files/4547_ruby_14928/4547_ruby_14928.txt
4548	000076	売春婦リゼット		岡本かの子	cards/000076/files/4548_ruby_14927/4548_ruby_14927.txt
4549	000076	巴里のむす子へ		岡本かの子	cards/000076/files/4549_ruby_14929/4549_ruby_14929.txt
4550	000076	新時代女性問答		岡本かの子	cards/000076/files/4550_ruby_14926/4550_ruby_14926.txt
4551	000076	家庭愛増進術	――型でなしに	岡本かの子	cards/000076/files/4551_ruby_14920/4551_ruby_14920.txt
4552	000076	良人教育十四種		岡本かの子	cards/000076/files/4552_ruby_14919/4552_ruby_14919.txt
4553	000076	岡本一平論	――親の前で祈祷	岡本かの子	cards/000076/files/4553_ruby_14918/4553_ruby_14918.txt
4554	000076	愛よ愛		岡本かの子	cards/000076/files/4554_ruby_14915/4554_ruby_14915.txt
4555	000076	かの女の朝		岡本かの子	cards/000076/files/4555_ruby_14500/4555_ruby_14500.txt
4556	000076	桜		岡本かの子	cards/000076/files/4556_ruby_14499/4556_ruby_14499.txt
4557	000050	海城発電		泉鏡花	cards/000050/files/4557_ruby_12111/4557_ruby_12111.txt
4558	000050	湯女の魂		泉鏡花	cards/000050/files/4558_ruby_26033/4558_ruby_26033.txt
4559	000050	政談十二社		泉鏡花	cards/000050/files/4559_ruby_26032/4559_ruby_26032.txt
4560	000050	化鳥		泉鏡花	cards/000050/files/4560_ruby_8595/4560_ruby_8595.txt
4561	000050	照葉狂言		泉鏡花	cards/000050/files/4561_ruby_50410/4561_ruby_50410.txt
4562	000050	伊勢之巻		泉鏡花	cards/000050/files/4562_ruby_21558/4562_ruby_21558.txt
4562	000050	伊勢之巻		泉鏡花	cards/000050/files/4562_ruby_70098/4562_ruby_70098.txt
4563	000050	悪獣篇		泉鏡花	cards/000050/files/4563_ruby_24563/4563_ruby_24563.txt
4564	000050	露肆		泉鏡花	cards/000050/files/4564_ruby_21559/4564_ruby_21559.txt
4565	000050	日本橋		泉鏡花	cards/000050/files/4565_ruby_57437/4565_ruby_57437.txt
4573	000050	月夜		泉鏡太郎	cards/000050/files/4573_ruby_74011/4573_ruby_74011.txt
4575	000050	夜釣		泉鏡花	cards/000050/files/4575_ruby_24564/4575_ruby_24564.txt
